Product Name,Price,Image,Link
"ASUS Gaming V16 (2025) for Creator with Office 2024 + M365 Basic*,AI PC((i5 14th gen) Intel Core 5 210...","₹84,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/r/l/-original-imahfthuktzgmyba.jpeg?q=70,https://www.flipkart.com/asus-gaming-v16-2025-creator-office-2024-m365-basic-ai-pc-i5-14th-gen-intel-core-5-210h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-v3607vu-rp550ws-laptop/p/itm098aec3c37243?pid=COMH89EB4YHB2R5U&lid=LSTCOMH89EB4YHB2R5UAEKWSN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_3rx01Eq3h7SnXf5ugFF28OQ3bpyWK2_mbN-UOPWiBQAk1baDeSJ2a-qZWyoM58ARjvGHOKySUPGqijynNJWhvOvN4Mn-dv-pi277bRzMbnY%3D&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,"₹39,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/i/u/-original-imahcd9mqsw6rebt.jpeg?q=70,https://www.flipkart.com/infinix-y4-max-series-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmf0f9170b3ca9f?pid=COMGWWDH9WGCHHEG&lid=LSTCOMGWWDH9WGCHHEGAO3TIN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_3rx01Eq3h7SnXf5ugFF28OQ3bpyWK2_mbN-UOPWiBQB-nHGFuH7mn4ClZSqROTOXmwObojTQw3j_6Ko56wp3OmaRs4JL222ZRV-dN99QnxU%3D&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
ASUS Vivobook Go 15 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) E510KA-EJ9011WS ...,"₹28,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/u/e/-original-imahgfdffctzvcw6.jpeg?q=70,https://www.flipkart.com/asus-vivobook-go-15-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-e510ka-ej9011ws-thin-light-laptop/p/itm1826f3fec8f97?pid=COMH9499YSMWDGTM&lid=LSTCOMH9499YSMWDGTMPWX6IP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=c816c56a-b95c-4a37-a374-ad89727e53bf.COMH9499YSMWDGTM.SEARCH&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"₹28,690",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/d/-original-imahb2kbf2zdan3z.jpeg?q=70,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5300u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH28U4WDFBUKP3&lid=LSTCOMH28U4WDFBUKP33B8RFG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=c816c56a-b95c-4a37-a374-ad89727e53bf.COMH28U4WDFBUKP3.SEARCH&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
Acer Aspire 14 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) AS14H-53 Thin and Li...,"₹49,999",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/c/9/-original-imahgfypjsabxvbz.jpeg?q=70,https://www.flipkart.com/acer-aspire-14-intel-core-i7-13th-gen-13620h-16-gb-512-gb-ssd-windows-11-home-as14h-53-thin-light-laptop/p/itm15451b45334fc?pid=COMHEWCQSNXSZZGK&lid=LSTCOMHEWCQSNXSZZGKGIDZJH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=c816c56a-b95c-4a37-a374-ad89727e53bf.COMHEWCQSNXSZZGK.SEARCH&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"₹57,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/y/3/-original-imahgfdyaaghwzef.jpeg?q=70,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFEQJPWN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=c816c56a-b95c-4a37-a374-ad89727e53bf.COMH3G96MYGWSGTF.SEARCH&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
Infinix ZEROBOOK 13 Intel Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thi...,"₹75,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/t/o/-original-imahcd99hwc3fzhd.jpeg?q=70,https://www.flipkart.com/infinix-zerobook-13-intel-core-i7-13th-gen-13700h-16-gb-512-gb-ssd-windows-11-home-zl513-thin-light-laptop/p/itmad7e026e8b8c5?pid=COMGRFPGDHCJWAMX&lid=LSTCOMGRFPGDHCJWAMXVUROLP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_3rx01Eq3h7SnXf5ugFF28OQ3bpyWK2_mbN-UOPWiBQB7PzWOKjp5jVHL5L-mkRL6CmgVgD8XVojpFgtX1SRzla8iqbiwhGf4dwbXVx7ZSks%3D&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,"₹34,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/a/n/-original-imahcd9jtc54fcuy.jpeg?q=70,https://www.flipkart.com/infinix-y4-max-series-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmd28733993c713?pid=COMGWWBRSAFMWR3W&lid=LSTCOMGWWBRSAFMWR3WJIBRUX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_3rx01Eq3h7SnXf5ugFF28OQ3bpyWK2_mbN-UOPWiBQDCcle_iLfQ3Rm1sYLdp0EtQxjYhLYga45IbHvHHzbc-_KSJvID5C-RdFfAlzwDiqI%3D&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹17,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/o/c/-original-imahgfdf6k39fbzg.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmbc62e2fcb2e02?pid=COMHCC7ADKEWZPSJ&lid=LSTCOMHCC7ADKEWZPSJ9IZNXQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=c816c56a-b95c-4a37-a374-ad89727e53bf.COMHCC7ADKEWZPSJ.SEARCH&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,"₹31,890",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/n/k/15-fc0154au-thin-and-light-laptop-hp-original-imahdhhpmjvyrhat.jpeg?q=70,https://www.flipkart.com/hp-15-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0500au-15-fc0154au-thin-light-laptop/p/itm341b4714ead99?pid=COMH56DFUBTUMXRH&lid=LSTCOMH56DFUBTUMXRHDP7JED&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=c816c56a-b95c-4a37-a374-ad89727e53bf.COMH56DFUBTUMXRH.SEARCH&ppt=hp&ppn=homepage&ssid=k2sbgz4ngg0000001761818038463&qH=c06ea84a1e3dc3c6
