price,price_before_discount,raw_discount,discount_percentage,name,image,sold,historical_sold,shop_name,itemid,shopid,rating_star,rating_count,shop_location,stock
75.83,109.0,30,30%,KEELAT Portable LED Work Light 3300lm High Light Emergency Light,https://down-sg.img.susercontent.com/file/sg-11134207-825a9-mg3h4jdpt5vy68,154,180,KEELAT DIY MALL,41571593441,290742238,4.957142857142857,140,SG,1
6.26,7.5,17,17%,HomeBox 🇸🇬 Nite Ize S-Biner Dual Carabiner In Black | Silver,https://down-sg.img.susercontent.com/file/sg-11134207-7rfhx-m9h8ta6mhhhca4,154,560,HOMEBOX.SG,41000057312,49413572,4.945652173913044,184,SG,1
4.97,21.95,79,79%,10 Studs Anti-Skid Ice Gripper Spike Winter Climbing Anti-Slip Snow Spikes Grips Cleats Over Shoes Covers outdoor crampones,https://down-sg.img.susercontent.com/file/sg-11134201-22110-qv38t8s69cjv89,148,4000,Warm Station,19761055716,54615708,4.801918735891648,3544,Mainland China,1
12.9,12.9,0,,"aLL.EZ Scented Liquid Chalk (200ml) | Citrus/Grape | Climbing, Lifting & Bouldering",https://down-sg.img.susercontent.com/file/sg-11134207-7rbkl-lmcozo84pgex37,144,2000,aLL.EZ Official Store,23715557608,883338500,4.902214022140221,1084,SG,1
5.88,10.9,59,59%,KADAO 1 Pair Adults and Kids Anti-Slip Crampons Ice Grips Snow Climbing Icing Shoe Spike Cleats Shoes Cover Grip,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-m2rn17mdjqav34,143,1000,KADAO.sg,20784204912,1016731977,4.828793774319066,514,Mainland China,1
9.9,25.0,60,60%,【SG STOCK】Lightweight Pickleball Paddle with Comfort Grip and Durable Fiberglass surface for Indoor/Outdoor sport racks Set USAPA Approved,https://down-sg.img.susercontent.com/file/cn-11134207-820l4-mf2bzss54sui80,137,234,🇸🇬Bear Home,41011468494,1002877758,4.9375,96,,1
2.84,3.16,10,10%,Fitness Wristband Prevent Sprains Breathable Sweat Wristband Suitable for Volleyball Badminton,https://down-sg.img.susercontent.com/file/cn-11134207-7qukw-lir5td5qvgca19,135,966,sportsfashion823.sg,18190407384,848087995,4.843537414965986,882,Mainland China,1
8.8,8.8,0,,[SG STOCK] Franklin Pickleball Ball X-40 Outdoor/Indoor | Selkirk S1Pro | 100% Authentic & Original,https://down-sg.img.susercontent.com/file/sg-11134207-7repb-m8eohpt03pkm7d,135,504,Black Tech SG Official,26232887248,91888813,4.833333333333333,216,SG,1
2.7,3.27,31,31%,Pack of 3 Women's Sports Headbands - Stretchy Yoga Headbands for Active Lifestyle,https://down-sg.img.susercontent.com/file/sg-11134301-7repb-m8u9st2nhitt95,134,523,Shopee Choice Global,24694682753,1006220784,4.948458352508053,4346,Mainland China,1
1.52,2.69,46,46%, Led Mini Flashlight Aluminum Alloy Waterproof Keychain Torch Light Carabiner Mini Portable Flashlight 【Bluey】,https://down-sg.img.susercontent.com/file/2d93d3db4fcdfdd30b367c1f2ff24862,133,1000,bluey.sg,21909904668,243586589,4.604651162790698,172,Mainland China,1
2.93,7.67,62,62%,Austto Sports Headband Slim Workout band Cooling Sweatband  Men Women Running hairband,https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-lxktjg00r1ur3d,129,10000,Austtosports.sg,3853159573,290754087,4.868471953578337,4136,Mainland China,1
6.3,11.96,47,47%,Super Bright XHP70 Led Flashlight USB Rechargeable Zoomable Torch with COB Side Light for Outdoor Camping Hiking Fishing cycling,https://down-sg.img.susercontent.com/file/sg-11134201-7rd72-luye4bvla6lw29,126,1000,TOOPRE,24230249870,397725242,4.8085846867749416,1724,SG,1
0.97,3.16,69,69%,1pcs Camping Hiking Survival Whistle /  Small Size Aluminum Emergency Whistle / Outdoor EDC Tools Train Whistle /with Key Chain Emergency Whistles,https://down-sg.img.susercontent.com/file/5081cf731a64822589bdc9ca8a45cd9c,125,3000,Love Sunshine Department Store,4545905706,290987482,4.8949680511182105,5008,Mainland China,1
43.34,100.0,64,64%,Outdoor Tent 6-8 Persons Camping Tent Family Tent Automatic Double-Layer,https://down-sg.img.susercontent.com/file/sg-11134207-7rdxb-mbrrvk1r679q31,122,351,Wthb Outdoor Official Shop.sg,40805394526,1538261968,4.935185185185185,216,SG,1
3.68,4.95,26,26%,12000LM Dual Bulb COB Waterproof Camping Head Light Rechargeable Outdoor Bike Jogging Torch Headlamp Lampu Kepala 户外爬山灯,https://down-sg.img.susercontent.com/file/sg-11134201-7rdya-lzomqp21pboi4d,117,698,AllBlue.SG,26859943830,1326167741,4.752,500,Malaysia,1
2.07,3.27,37,37%,Sweat Absorbing Headbands For Athletes Football Players Comforttight Preventsweatfromeyes,https://down-sg.img.susercontent.com/file/sg-11134301-7rd6m-m7sv7bqml6ac12,112,262,Shopee Choice Global,25443650643,1006220784,4.83,2200,Mainland China,1
0.81,1.61,50,50%,St. kunkka 5/1Pcs Colorful Spring Buckle 23 * 46mm Aluminum Flat Head Buckle Carabiner for DIY Keychain Making,https://down-sg.img.susercontent.com/file/sg-11134201-7reoa-m2c5bdyg99ksc4,107,700,St.kunkka Official Store,29166977963,284376698,4.8924050632911396,632,Mainland China,1
1.5,1.5,0,,[Local Seller]READY STOCK Anti Dust UV Plain Color Bandana Head Scarf Motorcycle / Bicycle / Fishing / Outdoor Adventure,https://down-sg.img.susercontent.com/file/55b7bd5771470219a032306520483b9b,105,2000,Ryder Shop,13561840588,89038179,4.900826446280992,242,SG,1
5.45,18.56,71,71%,Tactical Flashlight Super Bright Torch Lamp Military LED Light,https://down-sg.img.susercontent.com/file/sg-11134201-22120-qgg2cdieuzkv48,99,1000,TOOPRE,18650515053,397725242,4.509829619921363,1526,Mainland China,1
17.5,27.0,35,35%,SG HOT Silicone Ankle Wrist Weights Adjustable Weight  Sports Wristbands Exercise Filled Arm Wrist Band Gravity Belt,https://down-sg.img.susercontent.com/file/sg-11134207-7rbnk-loyvjwgfkgnr0f,95,873,DADA.SG Store,24002850316,854437002,4.888888888888889,360,SG,1
3.97,4.91,19,19%,5mW Military Laser Pointer -  Green Beam For Presentations,https://down-sg.img.susercontent.com/file/sg-11134301-7rfft-m9sukjlvkvoc70,93,1000,Shopee Choice Global,28311272754,1006220784,4.662685486789721,5526,Mainland China,1
5.3,10.0,62,62%,[SG STCOK ]  Pickleball Paddle Set of 2 and Ball Set Carbon Fiber Surface Pickle Ball Racket,https://down-sg.img.susercontent.com/file/sg-11134207-824id-meavk4s6s5c347,91,940,Mayan shop,28304675681,423063159,4.8879668049792535,482,SG,1
4.9,4.9,2,2%,[SG SELLER] Ultraviolet LED Flashlight Black Light UV Lamp Beads Multi-Function Handheld Detection Torch Glue Curing LED,https://down-sg.img.susercontent.com/file/sg-11134207-7rasl-maxpvjy2jr6r04,84,7000,VOZUKO,2887258523,19754095,4.840832395950506,3556,SG,1
1.35,1.5,10,10%,Cheerleaders Handheld Pompom Cheerleading Accessories Props,https://down-sg.img.susercontent.com/file/sg-11134201-7rd63-m7bqu6s4rnjl08,80,524,Joy Gifts,26079621225,1008751228,5,12,SG,1
3.27,4.35,25,25%,ECGIFT SW008 Customized Printed Silicone Wristband Personalized Rubber Bracelet Sport Baller Band,https://down-sg.img.susercontent.com/file/my-11134201-23030-6v9xixlsx7nvcc,20,536,ecgift.sg,23428990051,462156749,4.714285714285714,28,Mainland China,1
1.72,1.72,0,,18650 Size 1/2/3/4 Slot Battery Holder Storage Box Case Series Parallel Style with Wire Lead,https://down-sg.img.susercontent.com/file/8c7207f8d65a1917d4d5543b17e5db2b,17,1000,LEDTOP.sg,5390612647,326935549,4.881533101045296,576,Mainland China,1
0.49,0.49,0,,Silicone Wristband Event Wrist Swimming Party Resort Hotel hand Bracele,https://down-sg.img.susercontent.com/file/cn-11134207-7qukw-lhr8412oamjid1,10,3000,pk123.sg,18080659211,168032978,4.866666666666666,92,Mainland China,1
3.82,10.89,65,65%,TIMETOSPORT Ripstix Poundfit Original Ripstick Stick 110g Pound Fit Stick Workout Cardio Stick 1 Pair Sports Stick 3015,https://down-sg.img.susercontent.com/file/id-11134207-7r98p-lu90jyf6rr2ub7,4,108,timetosporthj.sg,25174941751,532161752,4.881901840490798,1304,Indonesia,1
7.53,31.61,76,76%,"New Alonefire SV94 UV Flashlight 365/395nm High Brightness USB Rechargeable Torch for Pet Urine, Cat Tinea Marker, Money, Ore Leak Detection Lamp",https://down-sg.img.susercontent.com/file/sg-11134201-8259d-mftvuted3m6h7f,1000,1000,Shopee Choice Global,43862713907,1006220784,4.998052580331061,4108,Mainland China,1
0.66,2.0,67,67%,Sports Wristband / Sweat Wrist Band/breathable Wrist Band Suitable For Basketball/Outdoor Sports/Gym 护腕,https://down-sg.img.susercontent.com/file/sg-11134201-22090-kkvvxi44qxhvfd,180,1000,hpcmall,19049602760,471642925,4.793103448275862,116,SG,1
2.81,8.76,68,68%,Portable Waterproof LED Torch USB Rechargeable Bright Light Flashlight Multi-Function Outdoor Camping Hand Torchs,https://down-sg.img.susercontent.com/file/90ebf81090d17d7926876546e9b77d08,174,382,womaninlove.sg,17159510771,76210086,4.689138576779026,534,Mainland China,1
2.99,5.01,40,40%,Musion Thermal Neck Warmer Fleece Winter Mask Ski Face Cover Winter Scarf Warm Multifunctional Winter Beanie for Skiing and Cycling,https://down-sg.img.susercontent.com/file/sg-11134201-22120-cc7hyajl9ukv45,120,1000,Musion.sg,16091190776,204225676,4.820648577101258,3022,Mainland China,1
1.85,1.85,0,,Non-slip Nike/Adidas Headband/Hairband - Nike Running Gym Fitness Workout Yoga Sports Training Headband,https://down-sg.img.susercontent.com/file/f5749145a818f843b08fd19b0e441b36,115,302,Victory99.sg,22865197494,211833816,4.767391304347826,920,Mainland China,1
7.98,9.27,14,14%,Winter warm woolen hat Three-piece Set Unisex Thermal Winter Set - Beanie Scarf & Touchscreen Gloves for Outdoor/Skiing/Sports,https://down-sg.img.susercontent.com/file/sg-11134201-821em-mgk8fo6pik998d,111,251,Shopee Choice Global,26863490641,1006220784,4.805453805453806,4914,Mainland China,1
1.44,4.35,67,67%,Carabiner Key Hook Anti-loss Rope Nylon Backpack Hanging Buckle Multifunctional Key Ring Outdoor Tension Carabiner,https://down-sg.img.susercontent.com/file/sg-11134201-7rfif-m3yr96waj3owac,109,339,Niuzai Mart,29671133726,401297909,4.821705426356589,258,Mainland China,1
3.3,15.9,79,79%,【SG】2pcs Anti-Slip Ice snow Crampons for  shoes spike shoes Walking Hiking  Portable Flexible Footwear,https://down-sg.img.susercontent.com/file/sg-11134207-7rdxn-ly6f23uirs4s91,108,787,seiro,29456324571,1274078485,4.852941176470588,204,SG,1
4.9,12.9,63,63%,[SG Seller] Universal Wrist Wrap / Wrist Guard / Wrist Support / Wrist Strap / Sports Wrist Band - 1 pc,https://down-sg.img.susercontent.com/file/41092e23ff8623972ec4d8b90a5a963f,106,4000,Tomato SG,9815212285,338563812,4.788135593220339,1890,SG,1
4.99,11.63,57,57%,Camping Lantern Flashlight Multifunctional Rechargeable USB Foldable with Atmosphere Mode 6 Brightness Modes LED Light Portable Strap Hook for Outdoor Camping Hiking Travel Fishing,https://down-sg.img.susercontent.com/file/sg-11134201-824hy-meayz0o9v7cw50,104,110,Samiso.sg,42161893336,726553318,4.9523809523809526,84,Malaysia,1
6.0,15.81,62,62%,Super Bright Lampu Suluh LED Flashlight Zoomable With Power Display USB Rechargeable,https://down-sg.img.susercontent.com/file/my-11134201-7rasf-mawijfslzdbf8e,102,562,Shopee Choice MY,25695008818,1299445769,4.958302028549962,5324,Malaysia,1
10.0,22.47,56,56%,【128 hours of continuous use】flashlight strong torch light Rechargeable rortable IPX7 Waterproof torchlight ultra bright,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-m6gp0u1fbbez86,101,608,LarryRed.sg,24741646583,1453003728,4.576763485477178,482,,1
3.16,3.16,0,,CLIP/STRAP/X51005/P50 3 Mode Rechargeable Waterproof LED Torch Light XPE COB USB Charge Bright Zoomable Flashlight,https://down-sg.img.susercontent.com/file/sg-11134201-23030-m9uw2kfnzfov59,101,550,cmtengteng.sg,28402167814,285812844,4.842931937172775,382,Malaysia,1
5.06,30.0,83,83%,Flashlight Head Spotlight 5 LED Super Bright Waterproof USB Rechargeable,https://down-sg.img.susercontent.com/file/1af8ef7507548491fa7552a7b16cefe6,100,5000,TOOPRE,13375626608,397725242,4.786646031395092,9046,SG,1
1.0,1.0,0,,Carabiner Spring Buckle Keychain Colorful Spring-Loaded Carabiner Zinc Alloy Ring Keys Multi-Color,https://down-sg.img.susercontent.com/file/sg-11134207-824g9-meicwa9gsv0g5f,99,99,AnyWhereHome,42568517737,447138384,5,18,SG,1
3.3,3.3,0,,Solid Fuel - box of 8 tablets,https://down-sg.img.susercontent.com/file/dd6164969f0cccd582ebb8012013fec2,98,3000,Outdoors Equipment Shop and More,2802524372,158129579,4.945026178010472,766,SG,1
1.14,1.2,5,5%,5Pcs 20/25/32/38/50mm molle attachment webbing strap buckle waist belt ending clip clasp adjust quick slip keeper tactical backpack bag fastener connect link adjuster,https://down-sg.img.susercontent.com/file/0e7050cc217dc2019cb92e7685b9a8b0,91,6000,22dgn.sg,4825860444,242592565,4.856221792392005,3102,Mainland China,1
4.25,8.18,48,48%,"Rechargeable LED Bulb – USB Portable Lamp for Emergency, Camping & Night Market (Lampu Malam)",https://down-sg.img.susercontent.com/file/my-11134201-7rasg-mawil11w6yzu79,91,213,Shopee Choice MY,28776403037,1299445769,4.799782372143635,3676,Malaysia,1
2.51,5.01,50,50%,Molle Loop Panel Backpack Patch Carabiner for Outdoor Sports Backpack EDC Accessories,https://down-sg.img.susercontent.com/file/sg-11134201-7rblq-lqbntgvswpm277,90,660,luctactics.sg,29609057327,1340643149,4.920560747663552,432,Mainland China,1
19.0,40.0,53,53%,Stove Portable stove Portable gas stove Steamboat Gas Stove Outdoor Hiking Stove Steamboat Stove Stove Burner,https://down-sg.img.susercontent.com/file/sg-11134207-7rfhe-m3vwkjkm33bxf4,90,476,LIFE.SG Official Store,27820920965,1061973574,4.767676767676767,198,SG,1
1.05,1.74,40,40%,1pcs Fashion Silicone Wristbands Wrist Bands Solid Color Sports Design Bracelets,https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-ltx5y2lykfql6b,89,1000,Dickens.sg,25178587912,1246184891,4.811764705882353,510,Mainland China,1
5.5,5.5,0,,T2P Sports Wrist Support Adjustable Wrist Brace Compression Tendon Sprain Carpal Tunnel Arthritis,https://down-sg.img.susercontent.com/file/sg-11134207-7qvg9-lk3dqm57styvd5,86,1000,T2P Merchandise,23375970033,685263,4.858527131782946,1032,SG,1
